,0,1
42,2005年に施行された基本情報の取り扱いについて定めた法律,個人情報保護法
43,市町村が住民全体の住民票を世帯ごとに編成し作成する公簿,住民基本台帳
44,自分の写真や肖像などの公開を拒否する権利,肖像権
45,人間が新しく創り出した物に関する権利,知的財産権(知的所有権)
46,現在の内閣総理大臣(首相)は？,岸田文雄(←菅義偉)
47,現在の内閣官房長官は？,松野博一(まつのひろかず)
48,現在の財務大臣は？,鈴木俊一
49,現在の与党といえば？,"自由民主党,公明党"
50,現在の外務大臣といえば？,林芳正(はやしよしまさ)
51,現在の自民党幹事長といえば？,茂木敏充(もてぎとしみつ)
52,現在の自民党政調会長といえば？,高市早苗
53,現在の防衛大臣は？,岸信夫
54,現在の経済産業大臣は？,萩生田光一
55,内閣府特命担当大臣（地方創生　少子化対策　男女共同参画）,野田聖子
56,現在の東京都知事は？,小池百合子
57,現在の大阪府知事は？,吉村洋文(よしむら ひろふみ)
58,現在の野党の立憲民主党の代表は？,泉健太
59,現在の野党の日本維新の会の代表は？,松井一郎(大阪市長)
60,現在の野党の日本共産党の代表は？,志位和夫(しいかずお)
61,すべての人が等しいという考え方。主権を持つすべての者の意志によって行われる体制。,"民主主義(デモクラシー,民主政)"
62,法律に基づき行政や司法が行われる国家,法治国家
63,多くの人達に合意されている共通意見,世論
64,新聞やテレビ、ラジオのように大衆に情報を伝達する機関のこと,マスメディア
65,目的や利益を求めて世論を操ること,世論操作
66,特定の世論へ誘導する意図を持った宣伝行為,プロパガンダ
67,日本の様々な選挙について定めた法律,公職選挙法
68,選挙の4つの原則の1つ。性別・財産・納税額etcに制限されない選挙。,普通選挙
69,選挙の4つの原則の1つ。1票の価値はみな同じである選挙。,平等選挙
70,選挙の4つの原則の1つ。有権者が直接投票する選挙。,直接選挙
71,選挙の4つの原則の1つ。投票者がどの候補者に投票したかを他人に知られないようにする選挙,秘密選挙
72,投票日に都合がつかず、投票日の前に投票を行うこと。投票所での投票を(①)、郵便等での投票を(②)と言う。,①期日前投票②不在者投票
73,1つの選挙区から1名を選ぶ制度。現在の衆議院議員の選び方,小選挙区制
74,各政党の総得票数に比例して代表者を選ぶ制度。現在の衆議院議員の選び方,比例代表制
75,ベルギーの数学者から名づけられた比例代表制における議席配分の計算方式,ドント方式
76,各政党が選挙で掲げる選挙公約のこと,マニフェスト
77,比例代表制において比例名簿の順位を決めず、個人名でも投票できる仕組み。,非拘束名簿式
78,議席の多数を占めている政党が政権を担当する政治,政党政治
79,政権を担当している政党,与党
80,政権を担当していない政党,野党
81,2つ以上の政党が政権を担当すること,連立内閣(連立政権)
82,国から政党に交付されるお金のこと,政党助成金
83,企業や団体が政治家に対して寄付する金銭,政治献金
84,アメリカの2大政党と言えば,民主党・共和党
85,イギリスの2大政党と言えば,労働党・保守党
86,自民党の党三役と言えば？,幹事長、総務会長、政調会長(政務調査会長)
87,日本国憲法第41条で「国会は…であって、国の…である」と定められている。…に入る言葉は？,国権の最高機関、唯一の立法機関
88,日本の国会を構成する2つの議院は？,衆議院・参議院
89,永田町にある国会が開かれる場所は？,国会議事堂
90,衆議院・参議院の被選挙権はそれぞれ何歳以上か？,"満25歳以上,満30歳以上"
91,衆議院・参議院の定員はそれぞれ何名か？(2021年現在),"465名,245名"
92,衆議院・参議院の任期は？,"4年(最大),6年"
93,衆議院は解散もあるのでより国民の意見を反映しやすいということで衆議院の議決が優先されること,衆議院の優越
94,会期が150日ある毎年1月に召集される国会,通常国会(常会)
95,緊急な問題が発生した際に衆議院または参議院のどちらかの総議員の4分の1以上の要求があった時に召集される国会,臨時国会(臨時会)
96,総選挙から30日以内に召集される内閣総理大臣を決める国会,特別国会(特別会)
97,衆議院は与党が過半数をしめている一方、参議院で過半数に達していない状態のこと,ねじれ国会
98,委員会において議案に関してその分野の専門家を招き意見を聞く会,公聴会
99,衆議院・参議院の意見が一致しなかった場合に開かれる会,両院協議会
100,軍隊の最高指揮権は軍人ではなく文民であること,文民統制(シビリアンコントロール)
101,行政権を持つ内閣の最高責任者のこと,内閣総理大臣
102,内閣を構成する大臣。各省庁の責任者,国務大臣
103,内閣総理大臣の補佐役,内閣官房長官
104,内閣の意思統一で政治の意思決定をする会議,閣議
105,内閣によって出される命令,政令
106,総理が執務を行ったり閣議が開かれる首相の邸宅,首相官邸
107,内閣が国会に対して連帯して責任を負う仕組み,議院内閣制
108,各省庁の官僚の最高地位,事務次官
109,国の財政・税金・通貨に関する仕事を行う省庁は？かつては大蔵省と呼ばれていた。,財務省
110,道路・河川・住宅などの交通などの国の仕事を行っている省庁は？,国土交通省
111,農業・漁業・林業などの整備に関する国の仕事を行っている省庁は？,農林水産省
112,国の教育や科学技術・文化に関する国の仕事を行っている省庁は？,文部科学省
113,国際的な外交政策を行う国の省庁は？,外務省
114,国民のための社会福祉や公衆衛生、また雇用対策を行っている省庁は？,厚生労働省
115,"行政管理,地方自治,電気通信などに関する国の仕事を行っている省庁は？",総務省
116,"商工業,貿易,資源に関する国の仕事を行っている省庁は？",経済産業省
117,民事・刑事など国の法律に関する国の仕事を行っている省庁は？,法務省
118,地球環境に関する国の仕事を行っている省庁は？,環境省
119,自衛隊の管理や運営を行っている省庁は？,防衛省
120,皇室関係の国家事務を行っている省庁は？,宮内庁
121,内閣府の外局の1つ。金融機関の監査を行っている省庁は？,金融庁
122,「憲法の番人」と呼ばれている司法権の最高機関。日本に一か所しかない裁判所。,最高裁判所
123,1以外の裁判所を何という？,下級裁判所
124,2の裁判所に当てはまるものをすべて答えなさい。,"高等裁判所,地方裁判所,家庭裁判所,簡易裁判所"
125,2の裁判所の中で最も上位の裁判所は？全国に8か所ある。,高等裁判所
126,お金や相続などに関する裁判を何という？,民事裁判
127,"窃盗や殺人,強盗などに関する裁判を何という？",刑事裁判
128,一つの裁判において3つの段階まで裁判を求めることができる制度,三審制
129,第二審の裁判を求めることを何という？,控訴
130,第三審の裁判を求めることを何という？,上告
131,民事裁判において訴えた人を何という？,原告
132,民事裁判において訴えられた人を何という？,被告
133,刑事裁判で訴えられた人を何という？,被告人
134,刑事裁判で罪を犯した疑いのある人。裁判に訴えられる前の人。,被疑者(容疑者)
135,無実の罪の事を何という？,冤罪
136,犯罪を調査し被疑者を裁判所に訴える人,検察官(検事)
137,被疑者を裁判所に訴えることを何という？,起訴
138,刑事裁判で被告人の利益を守る人,弁護人
139,有罪判決の刑の執行を伸ばし、その期間中に罪を犯さなければ判決を受けなくてもよい制度,執行猶予
140,国家権力の立法・行政・司法の3つの権限をそれぞれ独立させバランスをはかる政治制度といえば？,三権分立
141,『法の精神』において1を確立した人は?,モンテスキュー
142,国会が制定した法律が憲法に違反していないかを裁判所が審査できる権限といえば？,違憲立法審査権
143,裁判官を裁くための国会が行う裁判といえば？,弾劾裁判所
144,国民が最高裁判所の裁判官を審査することを何と言うか？総選挙の際行われる。,国民審査
145,国会が内閣に対して行える権限といえば？,内閣不信任決議
146,最高裁判所長官の指名権がある組織は？,内閣
147,国ではなく地方にできるだけ多くの権力を与えること,地方分権
148,権力を地方ではなく国に集中させること,中央集権
149,地方公共団体の運営や組織について定めた法律,地方自治法
150,都道府県の知事や市町村長をまとめてさす言葉,首長
151,地方公共団体が制定した規則,条例
152,"地方公共団体の住民が条例の制定・廃止,首長の解雇等を要求できる権利。",直接請求権
153,首長や主な地方公務員を解職を求めることができる権利,リコール(解職請求)
154,国が地方公共団体格差を無くすために補助する使い道を指定しない資金。,地方交付税交付金
155,国が使い道を指定した援助資金。,国庫支出金
156,市民側が行政に対する苦情処理や監察をする制度,オンブズマン制度
157,組織が資本によって作られている経済体制,資本主義
158,平等な社会を実現しようとする思想,社会主義
159,アメリカ合衆国の議会の2院とは？,上院・下院
160,多数の支分国が1つの国家を形成する体系,連邦制
161,イギリスの議会の2院とは？,庶民院・貴族院
162,イギリスにおいて野党が政権についた場合に備えて予め首相などを決めておいた内閣を何という？,シャドーキャビネット(影の内閣)
163,中華人民共和国の最高立法機関は,全国人民代表大会
164,中華人民共和国の最高行政機関は,国務院
165,現在社会主義国家と呼ばれている国は？,中国・北朝鮮・ベトナム・キューバ・ラオス
166,普天間基地の返還要求が高まる原因となった1995年に起きた事件は？,沖縄アメリカ兵による少女暴行事件※すべてのアメリカ兵が悪いという意味ではなく1回こういう事件が起き、左派メディアが報道すると世論が変わってしまいます。
167,普天間に基地があることによって起こる主なデメリットといえば？,"騒音問題,ヘリ墜落による事故問題(2004)より安全性の問題"
168,1997年以降普天間基地の移設候補先として最有力となっている場所は？,名護市の辺野古
169,安全性への懸念のため配備の反対運動が起こった、アメリカ軍の新型輸送機といえば？,オスプレイ
170,"「最低でも県外」という発言をしてしまい結局守れずに沖縄県民の反発を招いてしまった,当時の民主党の元総理大臣といえば？",鳩山由紀夫(はとやまゆきお)
171,2014年から沖縄県知事となり普天間基地移設計画に反対をしている人物は？,"翁長知事(翁長雄志,おながたけし)"
172,沖縄の世論に影響を与えている2つの左派系の新聞社は？,"沖縄タイムス,琉球新報"
173,"市民を装った政治活動家を現した言葉は？普天間基地の移設に反対している団体になぜか沖縄県外の人,外国籍の人が多く混ざっている(逮捕者50人前後)。",プロ市民(沖縄左翼)
174,沖縄からアメリカの基地がなくなることで、結果的に利する2つの国は？8を行う理由として考えられている。,"中国(尖閣諸島問題で中国が有利に),北朝鮮(自国が攻められた時の力が弱まる)"
175,①1906年受賞。アメリカの大統領。日露戦争の停戦を仲介した。,セオドア・ルーズベルト
176,②1919年受賞。アメリカの大統領。十四か条の平和原則を発表し国際連盟の設立に貢献。,ウィルソン
177,③1926年受賞。ドイツの首相。ロカルノ条約の締結に貢献。戦後のドイツの復興させた。,シュトレーゼマン
178,④1964年受賞。アメリカの人種差別問題に取り組んだ。,キング牧師
179,⑤1974年受賞。非核三原則の提唱。日本の内閣総理大臣。,佐藤栄作
180,⑥1979年受賞。カトリック教会の修道女。インドのカルカッタで貧しい人々のための活動をした。,マザー・テレサ
181,⑦1989年受賞。インドでチベット亡命政府を設立。,ダライ・ラマ14世
182,⑧1990年受賞。ソ連最後の最高指導者(初代大統領)。冷戦終結に尽力した。,ゴルバチョフ
183,⑨1991年受賞。ミャンマーの民主化に尽力。,アウンサンスーチー
184,⑩1993年受賞。南アフリカ共和国大統領。アパルトヘイトの廃止。,ネルソン・マンデラ
185,⑪1994年受賞。パレスチナ執行委員会議長。中東の和平に尽力,アラファト議長
186,⑫1999年受賞。フランスの医師達によって設立されたNGO,国境なき医師団
187,⑬2000年受賞。大韓民国の大統領。朝鮮南北首脳会談実現。,金大中
188,⑭2001年受賞。第7代国際連合事務総長。国際平和への取り組み。,コフィー・アナン
189,⑮2002年受賞。アメリカの元大統領(1977～81)。国際紛争の平和的解決に尽力。,カーター
190,⑯2007年受賞。アメリカの副大統領にも。地球温暖化問題に尽力。2000年の大統領選挙ではブッシュとの戦いで惜敗した。,アル・ゴア
191,⑰2009年受賞。アメリカ大統領。核なき世界に向けた国際社会への働きかけが評価された。,オバマ
192,⑱2010年受賞。中国の民主化のために非暴力の闘いを継続。天安門事件(1989)の中心人物。中国では国家転覆の罪で犯罪者とされている。,劉暁波(りゅうぎょうは)
193,⑲2014年受賞。パキスタン人少女。史上最年少受賞者。女性が教育を受ける権利を訴えた,マララ・ユサフザイ
194,ノーベル平和賞が授与される国は？,ノルウェー(その他の賞はスウェーデン)
195,5回もノーベル平和賞にノミネートされたがイギリスに配慮？して受賞できなかったインド独立運動の父は？,ガンディー
196,劉暁波がノーベル平和賞を受賞した際に中国が対抗して設立した平和賞は,孔子平和賞
197,非核三原則を提唱した佐藤栄作がノーベル平和賞受賞者として相応しくないと言われた理由は？,後に有事の際は核持ち込みもありうるという日米の密約が明るみに
198,南北朝鮮の首脳会談がノーベル平和賞受賞者として相応しくないと言われた理由は？,5億ドルを北朝鮮へ不正送金していたことが判明(金で買った平和賞と揶揄)
