,0,1
120,鎌倉時代の将軍と御恩と奉公の関係で結ばれた武士を何というか？,御家人
121,鎌倉幕府の将軍を補佐する役職。北条氏は実権をこれで握った。,執権
122,源頼朝が、1185年に国ごとに置いた軍事・警察をつかさどる役職は？,守護
123,源頼朝が、1185年に荘園や公領に置いた役職は？,地頭
124,源頼朝の妻は？尼将軍と言われた。,北条政子
125,1232年に日本最初の成文の武家法である御成敗式目を制定した人物は？,北条泰時
126,1221年、朝廷が鎌倉幕府に対して起こした反乱は？,承久の乱
127,1221年承久の乱で幕府打倒をはかった上皇は？その後隠岐に流刑。,後鳥羽上皇
128,1221年の承久の乱で幕府側の執権だった人物は？,北条義時
129,1221年の承久の乱の後京都に置かれた朝廷を監視する役職は？,六波羅探題
130,北条泰時が制定した日本最初の成文の武家法は？,御成敗式目
131,1274年文永の役、1281年弘安の役の二度にわたる元の襲来のことを何というか？,元寇(蒙古襲来)
132,元寇の時の元の皇帝は？,フビライ・ハン
133,元寇の時の執権は誰？,北条時宗
134,1297年北条貞時が元寇後の困窮した御家人救済のために発令したものは？,永仁の徳政令
135,東方見聞録を著し、日本を黄金の国と紹介したイタリア人は？,マルコ・ポーロ
136,1260年フビライ・ハンは国号を何としたか？,元
137,鎌倉幕府を倒した後、建武の新政を行った天皇は？,後醍醐天皇
138,浄土宗を開いた人は？,法然
139,浄土真宗を開いた人は？,親鸞
140,時宗を開いた人は？,一遍
141,臨済宗を開いた人は？,栄西
142,曹洞宗を開いた人は？,道元
143,日蓮宗を開いた人は？,日蓮
144,方丈記を著した人は？,鴨長明
145,平家物語は誰によって語られた？,琵琶法師
146,徒然草を著した人は？,吉田兼好（兼好法師）
147,運慶、快慶らによって作られた東大寺南大門にある像は？,金剛力士像
148,マルコ・ポーロが日本の国について著したものは？,東方見聞録
149,法然が開いた仏教の宗派は？,浄土宗
150,親鸞が開いた宗派は？。悪人正機説を唱えた。,浄土真宗（一向宗）
151,一遍が開いた宗派は？,時宗
152,栄西が開いた禅宗の宗派は？,臨済宗
153,道元が開いた禅宗の宗派は？,曹洞宗
154,日蓮が開いた宗派は？南無妙法蓮華経で有名。,日蓮宗
155,後鳥羽上皇の命で藤原定家らが中心となって撰者となった勅撰和歌集は？,新古今和歌集
156,鴨長明の有名な随筆は？,方丈記
157,吉田兼好の有名な随筆は？,徒然草
158,琵琶法師によって語られた鎌倉前期の軍記物語は？,平家物語
159,1338年に征夷大将軍になり室町幕府を開いた人は？,足利尊氏
160,1338年から1392までの天皇が二人になった時代を何というか？,南北朝時代
161,南北朝時代を終わらせた三代将軍は？,足利義満
162,室町幕府の将軍の補佐の役職は？,管領
163,足利義満が始めた貿易は？,日明貿易(勘合貿易)
164,13世紀から16世紀にかけて朝鮮や中国沿岸にかけて活動した日本の海賊集団といえば？,倭寇
165,1467年戦国時代が実質開始となった将軍家の後継者問題から発展した争いは？,応仁の乱
166,応仁の乱の際の室町8代将軍は？,足利義政
167,応仁の乱の直接の原因（子の出産）を作った足利義政の夫人は？,日野富子
168,応仁の乱のそれぞれの総帥は？細川勝元と誰？,山名持豊（山名宗全）
169,応仁の乱のそれぞれの総帥は？山名宗全と誰？,細川勝元
170,下の者が上の者を倒すという、戦国時代の風潮は？,下剋上
171,15世紀初め琉球王国を建国した王家は？,尚氏
172,1485年守護の畠山氏を追放した一揆といえば？,山城の国一揆
173,1428年機内近江の農民たちが徳政令を求めて起こした一揆といえば？,正長の土一揆
174,1488年から100年に渡って織田信長が平定するまで浄土真宗が一国を支配した一揆といえば？,加賀の一向一揆
175,足利義満が北山に建立したものは？,金閣
176,足利義政が東山に建立したものは？,銀閣
177,室町時代に完成した武家住宅の様式は？,書院造
178,室町時代の水墨画から発展して風景を描く山水画の大成者は？,雪舟
179,足利義満の時代の文化を金閣を立てた場所から何と呼ばれている？,北山文化
180,足利義政の時代の文化を銀閣を立てた場所から何と呼ばれている？,東山文化
181,父の観阿弥と共に能楽を大成した人物は？,世阿弥
182,1543年鉄砲が伝来した地は？,種子島
183,1549年キリスト教を日本に伝えたイエズス会宣教師は？,フランシスコ・ザビエル
184,1560年の織田信長vs今川義元の戦いといえば？,桶狭間の戦い
185,1573年織田信長が追放した室町15代将軍は？,足利義昭
186,1575年織田信長と徳川家康連合軍vs武田勝頼の戦い。鉄砲を本格的使った。,長篠の戦い
187,織田信長が現在の滋賀県に建てたとされる城。（権力の象徴）,安土城
188,1582年織田信長が明智光秀の裏切りで自害した事件。,本能寺の変
189,1582年本能寺の変を起こした主犯は？,明智光秀
190,本能寺の変の後、明智光秀を山崎の戦いで打ち負かした人は？,豊臣秀吉(羽柴秀吉)
191,戦国大名による商業政策。特に織田信長の政策が有名。,楽市・楽座
192,豊臣秀吉が行った土地調査といえば？,太閤検地
193,豊臣秀吉が行った農民が武器を持つことを禁止した政策は？,刀狩
194,1590年豊臣秀吉が北条氏を滅ぼしたときに兵糧攻めの対象となった城は？,小田原城
195,豊臣秀吉の2度にわたる朝鮮侵略に対して水軍を指揮した人物は？(朝鮮では英雄視されている),"李舜臣(リ・シュンシン,イ・スンシン)"
196,豊臣秀吉の時代のころの茶の湯の大成者は？,千利休
197,安土桃山時代の歌舞伎の大成者は？男装をし人々を魅了した。,出雲阿国
198,1600年の天下分け目の戦いといえば？,関ヶ原の戦い
199,1600年の関ヶ原の戦いは現在の何県で起こったか？,岐阜県
200,関ヶ原の戦いで敗者となり斬首された秀吉の五奉行の一人といえば？,石田三成
201,甲斐の戦国大名で風林火山を軍旗に用いた人物は？,武田信玄
202,1560年の桶狭間の戦いで織田信長と戦った戦国大名は？,今川義元
203,1575年の長篠の戦いで織田信長と戦った戦国大名は？,武田勝頼
204,越後の虎とも呼ばれた自ら毘沙門天の転生であると信じていた戦国大名は？,上杉謙信
205,中国地方を統一した戦国大名は？三本の矢の話で有名。,毛利元就
206,1590年豊臣秀吉が兵糧攻めをし滅んだ大名家は？,北条氏
207,独眼竜と称された東北の戦国大名は？,伊達政宗
208,尾張の国から勢力を拡大させ、日本の半分を支配下に治めた戦国大名は？,織田信長
209,豊臣秀吉の2度にわたる朝鮮侵略の戦いを2つ答えよ。,文禄の役・慶長の役
210,1549年キリスト教を日本に伝えたザビエルが所属していた団体は？,イエズス会
211,関ヶ原の戦いの勝者で江戸幕府を開いた人物は？,徳川家康
212,豊臣氏が滅んだ二度の戦いは？,"大坂の陣(大坂冬の陣,大坂夏の陣)"
213,江戸幕府が大名統制のために制定した基本法は？,武家諸法度
214,将軍の警備という名目で一定期間大名を江戸に来させた制度は？,参勤交代
215,徳川三代将軍は？,徳川家光
216,徳川家光がオランダと中国のみ長崎への寄港を許し、日本人の海外渡航、帰国を禁止した政策は？,鎖国
217,長崎に設けられたオランダ人の移住地といえば？,出島
218,1637～1638年九州のキリシタンの農民が起こした反乱は？,島原の乱（島原・天草一揆）
219,キリシタン検出のために用いた方法は？,踏絵
220,江戸時代の職能に基づく身分制度といえば？,士農工商
221,武士に対して非礼な振る舞いのあった農工商を切り殺してもいい特権といえば？,切捨御免
222,東南アジアに日本町ができるまでに至った鎖国前まで続いた貿易は？,朱印船貿易
223,江戸時代の徳川家康以降に徳川氏の子弟の大名を何と呼ぶ？特に、尾張・紀伊・水戸の徳川氏を御三家を指す。,親藩
224,江戸時代の関ヶ原の戦い後に徳川配下となった大名は？,外様
225,江戸時代の関ヶ原の戦い以前から徳川配下となっている大名は？,譜代
226,大坂夏の陣において、寡兵で徳川本陣まで攻め込み、徳川家康を後一歩のところまで追いつめた武将は？,真田幸村(真田信繁)
227,徳川５代将軍は？,徳川綱吉
228,徳川綱吉が出した動物の殺生禁止令は？,生類憐みの令
229,文治政治が定着した17世紀後半から18世紀前半までの文化は？,元禄文化
230,儒学の一派で、江戸幕府が重宝した学問は？,朱子学
231,江戸時代前半期に活躍した浄瑠璃、歌舞伎の作者は？,近松門左衛門
232,見返り美人図などで有名な浮世絵師は？,菱川師宣
233,徳川八代将軍は？,徳川吉宗
234,徳川吉宗が行った改革は？,享保の改革
235,徳川吉宗が設けた投票箱は？,目安箱
236,吉宗の次の将軍家重の時に老中になり、通貨、金融政策を活発化させたが、賄賂で不評をかった人物は？,田沼意次
237,吉宗の孫で田沼意次の失脚後に老中になり、厳しい保守主義を断行した人物は？,松平定信
238,1787年から始まった松平定信の改革は？贅沢禁止などを盛り込み民衆の反感をかった。,寛政の改革
239,寛政の改革とほぼ同時期である1789年にヨーロッパで起こった大事件は？,フランス革命
240,1792年日本の根室に来航したロシア人は？,ラクスマン(ラックスマンと表記されることも)
241,徳川綱吉の次の将軍に仕え正徳の治を行った人物は？,	新井白石
242,天保の大飢饉の後1837年大阪で起こった乱は？,大塩平八郎の乱
243,ちょうど大塩平八郎の乱とほぼ同時期の1840年中国（清）とイギリス間で起こった戦争は？,アヘン戦争
244,1841年から老中である水野忠邦が行った改革は？,天保の改革
245,江戸時代に日本地図をほぼ正確に測量して作った人物は？,伊能忠敬
246,19世紀初めに栄えた江戸文化は？,化政文化
247,『東海道中膝栗毛』の作者は？,十返舎一九
248,『南総里見八犬伝』の作者は？,滝沢馬琴
249,『富嶽三十六景』を描いた人物は？,葛飾北斎
250,『東海道五十三次』を描いた人物は？,安藤広重（歌川広重）
251,1853年黒船来航の際のアメリカの東インド艦隊司令長官は？,ペリー
252,1854年幕府がアメリカと結んだ条約は？,日米和親条約
253,日米和親条約で開港した港二つは？,函館、下田
254,1858年関税自主権がなく、領事裁判権を承認する不平等条約は？,日米修好通商条約
255,1858年の日米修好通商条約の際の米総領事は誰？,ハリス
256,咸臨丸の艦長としてアメリカに渡った人物といえば誰？,勝海舟
257,幕末の反幕府の政治の思想。天皇を崇拝し、外国を撃退するという意味がある。,尊王攘夷
258,1858～59年幕府が行った尊王攘夷の弾圧は？,安政の大獄
259,1858年～59年の安政の大獄で弾圧された中心人物の長州藩士は？松下村塾を開いた。,吉田松陰
260,安政の大獄を起こした幕府の大老は？,井伊直弼
261,1860年に起こった井伊直弼の暗殺事件は？,桜田門外の変
262,1863年近藤勇、土方歳三らが組織した京都警備の浪士隊は？,新選組
263,薩長同盟を実現させた土佐藩士は？京都で中岡慎太郎と共に暗殺された。,坂本竜馬
264,1867年、幕府が朝廷に政権を返還したことを何というか？,大政奉還
265,大政奉還を行った15代将軍は？,徳川慶喜
266,1863年新撰組を結成し局長となったが、反幕府側に斬首された人物は？,近藤勇
267,幕藩体制を解体し近代国家と資本主義の成立をもたらした変革は？,明治維新
268,1868年～69年の旧幕府軍対明治政府の戦いは？,戊辰戦争
269,1868年発表の明治政府の基本方針は？,五箇条の誓文
270,1869年、土地と人民を朝廷へ返還し中央集権を推し進めた政策といえば？,版籍奉還
271,1871年、藩を廃止し、府や県を置いた政策といえば？,廃藩置県
272,1873年、年貢制度の改革で地価の３％の金が税金となった政策といえば？,地租改正
273,1877年に起こった鹿児島県士族の反乱は？,西南戦争
274,1877年に起こった西南戦争の士族の首領は？,西郷隆盛
275,1875年ロシアと結んだ国境に関する条約は？,樺太・千島交換条約
276,明治初期の欧米文化の移入による近代化のことを何という？,文明開化
277,明治初期、北海道の開拓にあたった農兵を何というか？,屯田兵
278,明治の郵便制度の発足に貢献した人物は？,前島密
279,慶應義塾を創立した人物は？,福沢諭吉
280,明治前期、専制政治に反対し、国会開設や立憲政治の確立などを訴えた運動は？,自由民権運動
281,1881年自由党を結成した人物は？,板垣退助
282,1882年立憲改進党を結成した人物は？早稲田大学の創設者でもある。,大隈重信
283,1889年制定された日本の憲法は？,大日本帝国憲法
284,明治時代、栃木県で起きた公害問題といえば？,足尾銅山鉱毒事件
285,東京日比谷にあった煉瓦造りの建物は？,鹿鳴館
286,1894年後の日清戦争の原因となった朝鮮で起こった農民の反乱は？,甲午農民戦争
287,1894～95年の朝鮮半島支配のために勃発した戦いは？,日清戦争
288,1895年の日清戦争の講和条約といえば？,下関条約
289,1895年の下関条約の日本代表で初代内閣総理大臣にもなった人は？,伊藤博文
290,日本が下関条約で得た半島は？,遼東半島
291,遼東半島を返還せざる負えなかったロシア、ドイツ、フランスの圧力のことを何という？,三国干渉
292,1901年操業を開始した日本最大の製鉄所は？,八幡製鉄所
293,1902年、日本が同盟を結んだ国は？日露戦争を有利に導き第一次世界大戦の日本参入のきっかけにもなった。,イギリス
294,1904年に起こった満州、韓国の支配権をめぐる戦争は？,日露戦争
295,1905年結ばれた日露戦争の講和条約は？,ポーツマス条約
296,ポーツマス条約の調停役を務めたアメリカ大統領は？,セオドア・ローズベルト
297,ポーツマス条約が結ばれたポーツマス市はどこの国にある？,アメリカ
298,写実小説『浮雲』の作者は？,二葉亭四迷
299,赤痢菌を初めて発見した人は？,志賀潔
300,初めてビタミンB１を発見した人は？,鈴木梅太郎
301,破傷風菌の培養に成功した人は？,北里柴三郎
302,『たけくらべ』『にごりえ』の作者は？,樋口一葉
303,『若菜集』『破戒』の作者は？,島崎藤村
304,『舞姫』『阿部一族』の作者は？,森鴎外
305,『吾輩は猫である』『草枕』の作者は？,夏目漱石
306,『みだれ髪』の作者は？,与謝野晶子
307,『一握の砂』の作者は？,石川啄木
308,清が滅び中華民国が建国するまでに至った革命は？,辛亥革命
309,足尾銅山鉱毒事件の告発者として有名な政治家は？,田中正造
310,約400万年前にアフリカにいたとされる最古の人類である猿人は？	,アウストラロピテクス
311,約50万年前に出現した2つの原人といえば？,北京原人・ジャワ原人
312,約20万年前にヨーロッパに現れた死者の埋葬を初めて行った旧人は？,ネアンデルタール人
313,約4万～1万年前にヨーロッパに現れた新人は？,クロマニョン人
314,洞穴美術で有名なスペインにあるクロマニョン人の遺跡は？,アルタミラ
315,洞穴美術で有名なフランスにあるクロマニョン人の遺跡は？,ラスコー
316,約50万年前現れた原人はジャワ原人と火を始めて利用した何原人？,北京原人
317,4大文明をすべて挙げよ,エジプト文明・メソポタミア文明・インダス文明・黄河文明
318,エジプトの古代の王を何と呼んだか？,ファラオ
319,3大ピラミッドは何の王様の象徴か？,クフ王・カフラー王・メンカウラー王
320,黄金のマスクで有名なエジプトの王は,ツタンカーメン
321,エジプト人が使い始めた暦といえば,太陽暦
322,エジプトで使われた物の形を使って表された文字,象形文字
323,ナポレオンのエジプト遠征の際に発見され古代エジプト文字の解読のきっかけになった石碑は？現在、大英博物館に保管されている。,ロゼッタストーン（ロゼッタ石）
324,ギザのピラミッドのそばにあるライオンの身体と人間の顔をもった建造物,スフィンクス
325,メソポタミアで始まったとされる暦といえば？,太陰暦
326,メソポタミアでシュメール人が使ったとされる文字は？,楔形文字(くさびがた文字)
327,メソポタミアを流れた2つの川といえば？,チグリス川、ユーフラテス川
328,メソポタミア文明を形成した民族といえば？,シュメール人
329,古代メソポタミアの主な都市国家を2つ,"ウル,ウルク,ラガシュetc"
330,古代メソポタミアで角度・時間を測るために使われたもの。,60進法
331,バビロン第一王朝で「目には目を歯には歯を」で有名な法典を王の名前をとって何という,ハムラビ法典
332,初めて鉄製武器を使用し、バビロン第一王朝を滅ぼした国は？,ヒッタイト王国
333,ヘブライ人（ユダヤ人）が信じた唯一神といえば？,ヤハウェ
334,インダス文明で有名な遺跡を二つ,モヘンジョ・ダロ、ハラッパ
335,インダス文明を滅ぼしたのではないかと言われているインド北西部に移住してきた住民は？,アーリヤ人
336,古代インドの身分制度は？,カースト制度
337,紀元前5世紀ごろ、仏教を始めた人,シャカ（ガウタマ・シッダールタ）
338,2～3世紀頃、北インドで流行ったギリシャ式仏教美術は,ガンダーラ美術
339,四大文明は、エジプト、メソポタミア、インダスとあと一つは？,黄河文明
340,伝説的でまだ解明はされていないが中国最古の王朝は？,夏
341,紀元前１６００年、湯王が建国した王朝は？,殷
342,殷の殷墟から発掘された亀甲などに刻まれていた文字は？,甲骨文字
343,殷の次の王朝は？後に東西に分かれた。,周
344,中国における戦国時代の後の最初の統一国家は？,秦
345,秦を中国の統一国家とした皇帝は？,始皇帝
346,春秋時代の末期、儒家の祖と言われる思想家は？,孔子
347,孔子の弟子たちが孔子の言葉をまとめた書物は？,論語
348,始皇帝が北方民族の侵入を防ぐために建設したものは？,万里の長城
349,項羽を退け劉邦が前202年に建国した国は？,漢
350,中国の歴史の父と称される司馬遷が著した中国歴史書は？,史記
351,古代ギリシャの都市国家。アテネ、スパルタなどが有名。,ポリス
352,最古の文学とされる、叙事詩『イリアス』『オデュッセイア』を著した人,ホメロス
353,ギリシャを征服した父に代わってわずか10年でエジプトからインド西岸までを支配したマケドニアの王は？,アレクサンダー大王
354,紀元前5世紀頃の50年間にわたるアケメネス朝ペルシャがギリシャ侵攻してきた時の戦いといえば。,ペルシャ戦争
355,紀元前490年のギリシャとペルシャとの戦い。マラソンの起源とする説がある。,マラトンの戦い
356,ギリシャ数学の基礎を作った人。三平方の定理が有名,ピタゴラス
357,アテネの哲学者で危険思想として殺された人間の普遍的な心理を探求した人。,ソクラテス
358,アテネの哲学者で『イデア論』といえば？,プラトン
359,ギリシャの哲学者でアレクサンダー大王の家庭教師もした人,アリストテレス
360,アレクサンダー大王の東方遠征によりオリエントとギリシャの文化が融合した文化,ヘレニズム文化
361,紀元前１世紀のローマの将軍でガリアに遠征してその土地を支配した人。『賽は投げられた』『ブルータスお前もか!』という言葉で有名。,ジュリアス・シーザー(カエサル)
362,エジプトプトレマイオス朝の最後の女王。世界三大美女の一人といえば？,クレオパトラ
363,ローマ帝国初代皇帝、アウグストゥスの称号を得た人物といえば？,オクタビアヌス
364,キリスト教の創始者。ユダヤの宗教裁判によりゴルゴダの丘の十字架で死刑になった。後に復活したと言い伝えられている。,イエス
365,395年ローマ帝国分裂により東ローマ帝国は別名何帝国と呼ばれたか？,ビザンツ帝国
366,80年にローマに完成した円形闘技場といえば？,コロッセウム(コロッセオ)
367,4世紀後半頃からヨーロッパで南の地中海方面へ大移動し始めた民族は？,ゲルマン人
368,ローマ帝国が東西分裂したのは何世紀？,4世紀(395年)
369,481年クローヴィスが建国した後のフランス・ドイツ、イタリアの地域の元となる王国は？,フランク王国
370,1096年から聖地エルサレムを占領していたイスラム軍排除を目的として派遣されたキリスト教軍は？,十字軍
371,1096年の十字軍の遠征の際エルサレムを支配していた国は？,セルジューク朝(セルジュク・トルコ)
372,1215年イギリスの憲法の始まりとされたもの。国王の専制を制限することが盛り込まれている。,マグナ・カルタ（大憲章）
373,イギリスvsフランスの1339年～1453年までの戦争。,百年戦争
374,100年戦争のフランスの英雄といえば？,ジャンヌ・ダルク
375,１４世紀～１６世紀にかけての再生という意味を持つヒューマニズムを根本精神とした言葉,ルネサンス
376,ダビデ像を作った人,ミケランジェロ
377,モナ＝リザの作者は,レオナルド・ダ・ビンチ
378,ビーナスの誕生の作者は,ボッティチェリ
379,ルネサンス期の三大発明といえば,火薬・羅針盤・活版印刷
380,『ヴェニスの商人』『ハムレット』『リア王』など著者は？,シェークスピア
381,『ドン＝キホーテ』の著者は？,セルバンテス
382,十日物語と訳される『デカメロン』の著者は？,ボッカチオ
383,それまで常識であった天動説を覆す地動説を唱えたポーランド出身の天文学者は？,コペルニクス
384,天文学の父と称されたイタリアの物理学者兼天文学者は？地動説を支持したが宗教裁判で放棄を命じられた。,ガリレオ・ガリレイ
385,１４９２年アメリカ大陸を発見した人は？,コロンブス
386,アメリカの名前の由来となった南アメリカを探検したイタリア人,アメリゴ・ベスプッチ
387,アフリカの喜望峰を迂回しインドに到達した人は？,バスコ・ダ・ガマ
388,スペイン王室の命令で世界一周を果たした一行は？（本人はフィリピンの住民に殺された）,マゼラン
389,アメリカ（北アメリカ）の先住民族は？,インディアン(ネイティブ・アメリカン)
390,アメリカ（南アメリカ）の先住民族は？,インディオ
391,バルトロメウ・ディアスが到達したアフリカの最南端(実際は違う)の岬は？,喜望峰
392,プロテスタント源流を作ったドイツで宗教改革をした人物は？,ルター
